HAUL_CYCLE_REC_IDENT,LOAD_START_TIMESTAMP,LOADING_EASTING,LOADING_NORTHING,LOADING_ELEVATION,LOAD_LOCATION_SNAME,BLOCK_SNAME,DUMP_LOCATION_SNAME
2708511,45:30.0,798713.5759,7513535.57,NULL,ROM1_2_8_21,NULL,CRUSHER3
2708538,57:43.0,804527.9866,7510411.42,NULL,ROM2_1_5_20,NULL,CRUSHER1
2708545,07:36.0,806564.8508,7510523.45,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
2708565,05:51.0,804516.7038,7510410.757,NULL,ROM2_1_5_20,NULL,CRUSHER1
2708571,06:52.0,798716.2674,7513538.175,NULL,ROM1_2_8_21,NULL,CRUSHER3
2708590,14:07.0,804924.8094,7510756.722,NULL,ROM2_1_19_1,NULL,CRUSHER2
2708596,14:07.0,798845.0472,7513493.184,NULL,ROM1_2_10_31,NULL,CRUSHER3
2708643,46:10.0,806567.3393,7510558.347,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
2708650,35:21.0,804932.1149,7510760.205,NULL,ROM2_1_19_1,NULL,CRUSHER1
2708670,37:17.0,798842.366,7513482.359,NULL,ROM1_2_10_31,NULL,CRUSHER3
2708696,44:15.0,798618.7464,7513578.959,NULL,ROM1_2_8_21,NULL,CRUSHER3
2708714,51:35.0,804459.7435,7511136.941,NULL,ROM2_2_20_5,NULL,CRUSHER1
2708748,59:31.0,798755.6147,7513517.744,NULL,ROM1_2_10_31,NULL,CRUSHER3
2708788,11:46.0,804527.2353,7510413.504,NULL,ROM2_1_5_9,NULL,CRUSHER2
2708971,16:23.0,805648.0858,7512468.666,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2709006,24:58.0,804507.6239,7510404.576,NULL,ROM2_1_5_9,NULL,CRUSHER2
2709022,30:49.0,804990.4714,7510759.669,NULL,ROM2_1_19_1,NULL,CRUSHER2
2709027,39:28.0,798764.4355,7513515.39,NULL,ROM1_2_10_31,NULL,CRUSHER3
2709057,43:23.0,804515.2483,7510406.777,NULL,ROM2_1_5_9,NULL,CRUSHER1
2709077,55:36.0,798617.4825,7513576.001,NULL,ROM1_2_8_21,NULL,CRUSHER3
2709101,58:46.0,798761.494,7513517.491,NULL,ROM1_2_10_31,NULL,CRUSHER3
2709110,03:17.0,804506.8894,7510409.921,NULL,ROM2_1_5_9,NULL,CRUSHER1
2709116,03:14.0,798625.9198,7513568.441,NULL,ROM1_2_8_21,NULL,CRUSHER3
2709131,23:00.0,804524.4964,7510407.069,NULL,ROM2_1_5_9,NULL,CRUSHER2
2709132,11:19.0,804428.1161,7511131.096,NULL,ROM2_2_20_5,NULL,CRUSHER2
2709189,36:25.0,804423.3564,7511121.344,NULL,ROM2_2_20_5,NULL,CRUSHER1
2709220,01:34.0,806565.4538,7510518.207,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
2709280,49:05.0,804443.3806,7511131.097,NULL,ROM2_2_20_5,NULL,CRUSHER1
2709287,30:56.0,804600.9953,7510420.818,NULL,ROM2_1_5_9,NULL,CRUSHER1
